GEOID,"County, State",EEEJ weighted CDR score_Forests,EEEJ weighted CDR score_Soils,EEEJ weighted CDR score_BiCRS,EEEJ weighted CDR score_DAC,Highest CDR Method,Max EEEJ weighted CDR score
01001,"Autauga, AL",0.9644970414201184,,0.9345238095238095,,Forests,0.9644970414201184
01003,"Baldwin, AL",0.9106508875739645,0.094639312,0.9171492921492922,,BiCRS,0.9171492921492922
01005,"Barbour, AL",0.972189349,,0.953989704,,Forests,0.972189349
01007,"Bibb, AL",0.9431952662721893,,0.8798262548262549,,Forests,0.9431952662721893
01009,"Blount, AL",0.9325443786982248,0.094639312,0.4974259974259974,,Forests,0.9325443786982248
01011,"Bullock, AL",0.9597633136094674,,0.8986486486486487,,Forests,0.9597633136094674
01013,"Butler, AL",0.9573964497041421,,0.9654118404118404,,BiCRS,0.9654118404118404
01015,"Calhoun, AL",0.8035502958579882,0.26505625413633355,0.3815958815958816,,Forests,0.8035502958579882
01017,"Chambers, AL",0.8550295857988166,,0.907979408,,BiCRS,0.907979408
01019,"Cherokee, AL",0.9355029585798816,0.9424222369291859,0.6135778635778636,,Soils,0.9424222369291859
01021,"Chilton, AL",0.9455621301775148,,0.9594594594594594,,BiCRS,0.9594594594594594
01023,"Choctaw, AL",0.9420118343195266,,0.9264800514800515,,Forests,0.9420118343195266
01025,"Clarke, AL",0.991715976,,0.9777992277992278,,Forests,0.991715976
01027,"Clay, AL",0.729585799,,0.9353281853281853,,BiCRS,0.9353281853281853
01029,"Cleburne, AL",0.8745562130177514,,0.9987129987129987,,BiCRS,0.9987129987129987
01031,"Coffee, AL",0.9153846153846154,,0.9676640926640927,,BiCRS,0.9676640926640927
01033,"Colbert, AL",0.8550295857988166,0.7978160158835208,0.7467824967824968,,Forests,0.8550295857988166
01035,"Conecuh, AL",0.9940828402366864,,0.9771557271557272,,Forests,0.9940828402366864
01037,"Coosa, AL",0.9289940828402367,,0.9401544401544402,,BiCRS,0.9401544401544402
01039,"Covington, AL",0.972189349,,0.9842342342342343,,BiCRS,0.9842342342342343
01041,"Crenshaw, AL",0.8674556213017751,,0.9977477477477478,,BiCRS,0.9977477477477478
01043,"Cullman, AL",0.9822485207100592,,0.3547297297297297,,Forests,0.9822485207100592
01045,"Dale, AL",0.8834319526627219,,0.9601029601029601,,BiCRS,0.9601029601029601
01047,"Dallas, AL",0.9313609467455621,0.45764394440767703,0.9411196911196911,,BiCRS,0.9411196911196911
01049,"DeKalb, AL",0.9609467455621302,,0.3174066924066924,,Forests,0.9609467455621302
01051,"Elmore, AL",0.8284023668639053,,0.989060489,,BiCRS,0.989060489
01053,"Escambia, AL",0.9846153846153847,,0.9689510939510939,,Forests,0.9846153846153847
01055,"Etowah, AL",0.8733727810650888,0.45764394440767703,0.635939511,,Forests,0.8733727810650888
01057,"Fayette, AL",0.6875739644970414,,0.9654118404118404,,BiCRS,0.9654118404118404
01059,"Franklin, AL",0.8704142011834319,0.45764394440767703,0.9436936936936937,,BiCRS,0.9436936936936937
01061,"Geneva, AL",0.9550295857988166,0.9781601588352085,0.997104247,,BiCRS,0.997104247
01063,"Greene, AL",0.6236686390532544,,0.8737129987129987,,BiCRS,0.8737129987129987
01065,"Hale, AL",0.8005917159763314,,0.9699163449163449,,BiCRS,0.9699163449163449
01067,"Henry, AL",0.978698225,,0.9258365508365508,,Forests,0.978698225
01069,"Houston, AL",0.8988165680473372,0.9116479152878888,0.9683075933075933,,BiCRS,0.9683075933075933
01071,"Jackson, AL",0.9704142011834319,0.7978160158835208,0.606016731,,Forests,0.9704142011834319
01073,"Jefferson, AL",0.8769230769230769,,0.8886743886743886,,BiCRS,0.8886743886743886
01075,"Lamar, AL",0.9668639053254438,,0.9208494208494209,,Forests,0.9668639053254438
01077,"Lauderdale, AL",0.7769230769230769,0.700860357,0.5823680823680824,,Forests,0.7769230769230769
01079,"Lawrence, AL",0.7905325443786982,0.8170086035737922,0.5627413127413128,,Soils,0.8170086035737922
01081,"Lee, AL",0.8366863905325443,,0.9605855855855856,,BiCRS,0.9605855855855856
01083,"Limestone, AL",0.6822485207100591,0.9841164791528789,0.6817889317889317,,Soils,0.9841164791528789
01085,"Lowndes, AL",0.8532544378698225,0.45764394440767703,0.9913127413127413,,BiCRS,0.9913127413127413
01087,"Macon, AL",0.9526627218934911,0.9755129053606882,0.875965251,,Soils,0.9755129053606882
01089,"Madison, AL",0.6437869822485207,0.985440106,0.45785070785070786,,Soils,0.985440106
